economy,year,Perceived opportunities,Perceived capabilities,Fear of failure rate *,Entrepreneurial intentions,Total early-stage Entrepreneurial Activity (TEA),Established Business Ownership,Entrepreneurial Employee Activity,Motivational Index,Female/Male TEA,Female/Male Opportunity-Driven TEA,High Job Creation Expectation,Innovation,Business Services Sector,High Status to Successful Entrepreneurs,Entrepreneurship as a Good Career Choice
Argentina,2018,35.89,48.79,31.92,14.83,9.11,9.05,1.46,1.35,0.81,0.78,11.75,32.17,11.53,49.96,59.39
Argentina,2017,29.65,43.08,37.77,13.36,5.97,6.71,0.58,2.46,0.83,0.94,12.68,13.98,20.9,47.43,60.4
Argentina,2016,44.29,61.16,25.77,27.96,14.51,7.9,3.1,1.6,0.82,0.79,23,24.9,16.6,50.4,61.7
Argentina,2015,45.88,61.62,25.8,29.14,17.74,9.49,2.38,1.7,0.79,0.83,18.8,22.18,18.6,52.91,62.06
Argentina,2014,31.91,57.78,23.54,27.83,14.41,9.09,2.43,1.55,0.63,0.8,21.57,24.62,19.5,52.2,57.82
Argentina,2013,40.87,61.75,24.92,31.02,15.93,9.62,,1.59,0.67,0.79,24.45,15.55,16.42,,
Argentina,2012,50.08,63.46,27.02,29.2,18.88,9.63,,1.35,0.59,,20.23,29.35,17.35,66.87,74.23
Argentina,2011,56.03,63.76,27.86,29.95,20.78,11.82,3.21,1.35,0.69,,21.76,32.46,16.33,69.4,75.85
Argentina,2010,50.35,63.54,21.33,20.97,14.2,12.41,,1.19,0.76,,17.44,,17.66,67.09,74.31
Argentina,2009,43.97,65.11,36.62,14.21,14.68,13.53,,,0.64,,22.77,,17.66,75.71,67.88
Argentina,2008,47.33,62.15,29.89,15.29,16.54,13.52,,,0.92,,30.2,,13.53,69.6,68.79
Argentina,2007,60.8,57.06,35.03,20.03,14.43,9.96,,,0.65,,24.23,,22.56,74.07,74.18
Argentina,2006,57.3,57.49,32.6,13.42,10.24,6.96,,,0.47,,25.19,,9.92,67.7,67.83
Argentina,2005,57.51,55.12,36.99,17.59,9.49,4.95,,,0.64,,34.23,,9.84,72.88,69.04
Argentina,2004,56.64,58.58,33.04,19.46,12.84,8.06,,,0.54,,30.09,,13.54,71.62,67.83
Argentina,2003,65.1,62.83,33.27,17.15,19.73,7.84,,,0.49,,22.17,,13.15,71.06,69.32
Argentina,2002,20.67,66.83,36.04,10.78,14.15,10.78,,,0.69,,14.53,,10.72,,
Argentina,2001,19.83,54.8,37.17,,9.92,3.92,,,0.38,,17.81,,16.72,,
Barbados,2015,54.97,75.03,14.74,21.61,21.05,14.09,1.07,3.71,0.88,0.91,11.8,13.68,10.6,69.78,69.55
Barbados,2014,38.16,63.51,23.44,11.48,12.71,7.09,0.81,3.65,0.78,0.98,12.28,25.69,12.9,58.5,57.61
Barbados,2013,45.69,74.5,17.34,18.38,21.67,12.38,,3.7,0.82,0.93,11.56,18.89,5.46,72.34,67.95
Barbados,2012,47.01,69.86,17.27,22.99,17.12,12.23,,5.05,0.88,,15.28,13.37,14.51,,
Barbados,2011,43.63,66.41,19.95,13.2,8,3.94,0.74,11.57,0.51,,13.78,21.04,12.55,63.93,59.92
Belize,2016,71.77,84.65,26.07,42.87,28.83,5.3,8,6.2,0.9,0.98,24.9,48.2,16.47,71.3,65.6
Belize,2014,49.55,69,32.63,10.09,7.14,3.74,4.6,3.64,0.83,0.97,19.06,23.46,10.53,55.46,57.8
Bolivia,2014,57.67,73.11,38.39,46.94,27.4,7.59,0.56,2.26,0.84,0.88,18.53,27.88,8.29,77,70.26
Bolivia,2010,53.24,75.84,28.35,49.27,38.6,18.23,,3.36,0.89,,12.76,,8.61,66.59,62.88
Bolivia,2008,54.02,76.16,38.16,37.52,29.82,19.05,,,0.88,,12.69,,7.87,54.65,80.78
Brazil,2021,54.8,66.72,45.06,53,20.98,9.95,6.11,,0.8,,30.72,,12.1,,
Brazil,2020,57.3,67.8,43.4,52.7,23.4,8.7,7.9,,0.8,,35.8,,16.1,,
Brazil,2019,46.37,61.99,35.57,30.17,23.3,16.16,0.62,,0.98,,8.93,,7.57,72.25,75.25
Brazil,2018,31.43,54.27,32.61,26.05,17.88,20.25,0.66,1.34,0.93,0.82,6.08,3.71,11.03,,
Brazil,2017,46.42,55.89,39.82,15.25,20.3,16.5,0.74,1.16,1.04,0.81,3.05,13.91,5.32,,
Brazil,2016,40.23,53.57,36.14,27.67,19.56,16.9,1.5,1,1.04,0.82,4.4,12.4,4.96,,
Brazil,2015,42.38,58.27,44.74,24.37,20.98,18.89,0.99,1.11,0.94,0.67,6.8,19.69,5.9,80.08,77.66
Brazil,2014,55.54,49.96,35.56,24.5,17.23,17.51,1.04,2,1.03,0.79,9.59,12.65,8.92,,
Brazil,2013,50.93,52.62,38.72,27.2,17.31,15.44,,2.01,1.01,0.87,8.05,0.76,7.32,82.21,84.62
Brazil,2012,52.4,53.94,31.05,36.47,15.44,15.19,,1.95,0.91,,11.42,1.2,13.64,86.04,89.04
Brazil,2011,43.06,52.78,31.43,28.22,14.89,12.23,1.02,1.47,0.95,,11.15,6.88,11.89,86.33,86.33
Brazil,2010,48.12,57.94,33.25,26.46,17.5,15.26,,1.48,0.88,,15.4,,14.63,78.95,77.99
Brazil,2009,46.98,52.85,30.71,20.65,15.32,11.84,,,1.07,,11.12,,7.36,80.16,80.97
