Species,FatScore,BodyMass,Heterophils,Lymphocytes,Eosinophils,Monocytes,Basophils,HLRatio
Actitis hypoleucos,5,56,64,19,5,0,12,3.37
Actitis hypoleucos,1,44,60,34,0,1,5,1.76
Actitis hypoleucos,2,46,63,28,5,0,4,2.25
Actitis hypoleucos,3,47,2,87,4,2,5,0.02
Actitis hypoleucos,3,44,68,24,6,0,2,2.83
Actitis hypoleucos,5,45,42,45,6,3,4,0.93
Actitis hypoleucos,3,44,43,42,6,0,9,1.02
Actitis hypoleucos,3,39,40,37,5,1,17,1.08
Actitis hypoleucos,3,44,39,40,18,1,2,0.98
Actitis hypoleucos,3,49,67,25,2,3,3,2.68
Actitis hypoleucos,5,61,57,36,5,0,2,1.58
Actitis hypoleucos,5,51,22,61,6,1,10,0.36
Actitis hypoleucos,5,60,63,23,4,0,10,2.74
Actitis hypoleucos,4,49,77,22,1,0,0,3.5
Actitis hypoleucos,4,48,37,56,1,0,6,0.66
Actitis hypoleucos,6,49,31,57,4,3,5,0.54
Actitis hypoleucos,6,54,22,51,18,2,7,0.43
Actitis hypoleucos,4,44,12,76,6,2,4,0.16
Actitis hypoleucos,7,66,23,55,18,3,1,0.42
Actitis hypoleucos,7,60,52,32,4,1,11,1.63
Actitis hypoleucos,5,45,31,48,17,0,4,0.65
Actitis hypoleucos,4,45,76,17,1,0,6,4.47
Arenaria interpres,5,95,22,61,0,0,17,0.36
Arenaria interpres,5,94,50,45,2,1,2,1.11
Arenaria interpres,4,91,30,62,1,1,6,0.48
Arenaria interpres,0,86,24,73,0,3,0,0.33
Arenaria interpres,0,81,26,63,3,3,5,0.41
Arenaria interpres,0,73,42,53,0,3,2,0.79
Arenaria interpres,0,78,48,41,0,3,8,1.17
Arenaria interpres,0,78,28,70,0,1,1,0.4
Arenaria interpres,1,75,30,67,2,1,0,0.45
Arenaria interpres,4,96,39,52,3,2,4,0.75
Arenaria interpres,1,91,12,74,0,2,12,0.16
Arenaria interpres,2,81,13,84,0,1,2,0.15
Arenaria interpres,3,82,6,83,4,1,6,0.07
Arenaria interpres,0,99,19,72,2,1,6,0.26
Arenaria interpres,2,84,18,77,2,3,0,0.23
Arenaria interpres,3,83,7,91,1,0,1,0.08
Arenaria interpres,0,83,26,65,3,1,5,0.4
Arenaria interpres,3,85,31,61,7,0,1,0.51
Arenaria interpres,1,85,30,58,8,1,3,0.52
Arenaria interpres,3,89,35,53,3,2,7,0.66
Arenaria interpres,3,105,49,40,0,2,9,1.23
Arenaria interpres,0,80,68,24,4,1,3,2.83
Arenaria interpres,1,99,28,57,10,2,3,0.49
Arenaria interpres,1,100,29,64,4,0,3,0.45
Arenaria interpres,1,106,45,42,11,0,2,1.07
Arenaria interpres,7,113,51,40,2,0,7,1.28
Arenaria interpres,0,81,38,52,1,3,6,0.73
Arenaria interpres,7,117,59,36,0,0,5,1.64
Arenaria interpres,6,120,51,39,1,2,7,1.31
Arenaria interpres,0,86,36,59,0,2,3,0.61
Arenaria interpres,4,82,38,56,0,0,6,0.68
Arenaria interpres,7,100,17,73,0,2,8,0.23
Calidris alpina,0,39,47,31,1,2,19,1.52
Calidris alpina,0,42,44,44,1,0,11,1
Calidris alpina,3,50,16,76,1,0,7,0.21
Calidris alpina,1,47,47,46,3,0,4,1.02
Calidris alpina,6,54,23,68,0,0,9,0.34
Calidris alpina,3,43,85,7,2,2,4,12.14
Calidris alpina,3,43,74,20,3,0,3,3.7
Calidris alpina,5,48,38,55,0,1,6,0.69
Calidris alpina,2,48,37,57,0,1,5,0.65
Calidris alpina,4,53,49,43,1,2,5,1.14
Calidris alpina,3,40,42,56,1,0,1,0.75
Calidris alpina,3,43,26,66,0,0,8,0.39
Calidris alpina,5,50,37,58,0,0,5,0.64
Calidris alpina,3,46,35,50,3,0,12,0.7
Calidris alpina,5,58,27,64,4,1,4,0.42
Calidris alpina,5,56,36,53,1,1,9,0.68
Calidris alpina,3,45,38,57,0,0,5,0.67
Calidris alpina,3,49,41,54,1,0,4,0.76
Calidris alpina,3,44,45,44,3,1,7,1.02
Calidris alpina,3,50,31,57,1,1,10,0.54
Calidris alpina,5,54,45,42,1,1,11,1.07
Calidris alpina,3,47,24,62,2,5,7,0.39
Calidris alpina,5,46,38,56,3,0,3,0.68
Calidris alpina,4,49,22,71,0,0,7,0.31
Calidris alpina,0,38,37,53,0,1,9,0.7
Calidris alpina,3,39,32,61,0,0,7,0.52
Calidris alpina,5,50,36,59,0,2,3,0.61
Calidris alpina,0,44,75,15,0,0,10,5
Calidris alpina,4,54,29,67,0,0,4,0.43
Calidris alpina,1,40,35,53,1,0,11,0.66
Calidris alpina,3,43,58,37,0,0,5,1.57
Calidris alpina,3,48,29,62,1,0,8,0.47
Calidris alpina,5,58,46,46,3,0,5,1
Calidris alpina,5,49,39,47,0,1,13,0.83
Calidris alpina,3,45,41,40,0,2,17,1.03
Calidris alpina,5,57,23,67,0,0,10,0.34
Calidris alpina,5,54,34,46,0,4,16,0.74
Calidris alpina,0,41,41,51,0,0,8,0.8
Calidris alpina,5,50,77,22,0,0,1,3.5
Calidris alpina,5,56,27,65,1,0,7,0.42
Calidris alpina,3,46,32,61,0,0,7,0.52
Calidris alpina,5,55,8,84,0,2,6,0.1
Calidris alpina,4,48,47,40,1,1,11,1.18
Calidris alpina,2,42,13,73,1,2,11,0.18
Calidris alpina,3,46,30,59,6,1,4,0.51
Calidris alpina,5,57,19,65,6,0,10,0.29
Calidris alpina,3,51,15,73,5,1,6,0.21
Calidris alpina,4,47,33,60,2,0,5,0.55
Calidris alpina,5,58,42,56,0,0,2,0.75
Calidris alpina,5,53,32,60,1,0,7,0.53
Calidris alpina,3,43,40,56,0,0,4,0.71
